Bridge, male: 1, female: 0, ratio: 1
Briese, male: 1, female: 0, ratio: 1
Brigadier, male: 13, female: 1, ratio: 13.0
Brigand, male: 1, female: 0, ratio: 1
Briggs, male: 1, female: 0, ratio: 1
Brinkmann, male: 1, female: 0, ratio: 1
Briscoe, male: 1, female: 0, ratio: 1
Britain, male: 0, female: 1, ratio: 0.0
Britannia, male: 1, female: 0, ratio: 1
British, male: 1, female: 0, ratio: 1
Broadcaster, male: 48, female: 23, ratio: 2.0869565217391304
Broadcasting, male: 1, female: 0, ratio: 1
Broadway, male: 1, female: 2, ratio: 0.5
Broker, male: 7, female: 0, ratio: 1
Bronx, male: 1, female: 0, ratio: 1
Brooklyn, male: 0, female: 1, ratio: 0.0
Brooks, male: 0, female: 1, ratio: 0.0
Bros, male: 3, female: 0, ratio: 1
Brother, male: 15, female: 0, ratio: 1
Brother-in-law, male: 1, female: 0, ratio: 1
Brothers, male: 1, female: 0, ratio: 1
Brouwer, male: 0, female: 1, ratio: 0.0
Brown, male: 1, female: 0, ratio: 1
Browne, male: 1, female: 0, ratio: 1
Bruce, male: 1, female: 0, ratio: 1
Bruckner, male: 1, female: 0, ratio: 1
Brumbaugh, male: 1, female: 0, ratio: 1
Bryologist, male: 1, female: 0, ratio: 1
Buccaneer, male: 2, female: 0, ratio: 1
Buck, male: 1, female: 0, ratio: 1
Buddha, male: 1, female: 0, ratio: 1
Buddhist, male: 1, female: 0, ratio: 1
Builder, male: 23, female: 1, ratio: 23.0
Building, male: 1, female: 0, ratio: 1
Buisset, male: 1, female: 0, ratio: 1
Buisson, male: 1, female: 0, ratio: 1
Bullfighter, male: 2, female: 0, ratio: 1
Bun, male: 1, female: 0, ratio: 1
Bunch, male: 1, female: 0, ratio: 1
Bureau, male: 1, female: 0, ratio: 1
Bureaucrat, male: 6, female: 0, ratio: 1
Burglar, male: 2, female: 0, ratio: 1
Burgrave, male: 1, female: 0, ratio: 1
Burgundian, male: 1, female: 0, ratio: 1
Burma, male: 1, female: 0, ratio: 1
Burns, male: 1, female: 0, ratio: 1
Burundi, male: 1, female: 0, ratio: 1
Bushnell, male: 1, female: 0, ratio: 1
Bushranger, male: 4, female: 0, ratio: 1
Business, male: 0, female: 1, ratio: 0.0
Businessman, male: 756, female: 0, ratio: 1
Businessmen, male: 2, female: 0, ratio: 1
Businessperson, male: 38, female: 8, ratio: 4.75
Businesswoman, male: 0, female: 55, ratio: 0.0
Busker, male: 1, female: 0, ratio: 1
Bussey, male: 1, female: 0, ratio: 1
Bussi, male: 1, female: 0, ratio: 1
Butcher, male: 1, female: 0, ratio: 1
Butterfly, male: 2, female: 3, ratio: 0.6666666666666666
Buyer, male: 0, female: 1, ratio: 0.0
Byers, male: 1, female: 0, ratio: 1
C, male: 1, female: 0, ratio: 1
CE, male: 1, female: 0, ratio: 1
CEO, male: 45, female: 10, ratio: 4.5
CRAMM, male: 0, female: 1, ratio: 0.0
CTO, male: 1, female: 0, ratio: 1
Cabalist, male: 1, female: 0, ratio: 1
Cabaretier, male: 1, female: 0, ratio: 1
Cabinetmaker, male: 1, female: 0, ratio: 1
Cacica, male: 0, female: 1, ratio: 0.0
Cadet, male: 2, female: 0, ratio: 1
Caesar, male: 1, female: 0, ratio: 1
Caillé, male: 1, female: 0, ratio: 1
Calcaterra, male: 1, female: 0, ratio: 1
Calculator, male: 0, female: 1, ratio: 0.0
California, male: 2, female: 1, ratio: 2.0
Caliph, male: 12, female: 0, ratio: 1
Calligrapher, male: 7, female: 0, ratio: 1
Calligraphist, male: 1, female: 0, ratio: 1
Calve, male: 0, female: 1, ratio: 0.0
Calypsonian, male: 1, female: 0, ratio: 1
Cameleer, male: 1, female: 0, ratio: 1
Cameraman, male: 4, female: 0, ratio: 1
Camerinus, male: 1, female: 0, ratio: 1
Cameroonian, male: 2, female: 1, ratio: 2.0
Campaigner, male: 8, female: 13, ratio: 0.6153846153846154
Campbell, male: 0, female: 1, ratio: 0.0
Canada, male: 3, female: 4, ratio: 0.75
Canadian, male: 21, female: 1, ratio: 21.0
Candidate, male: 11, female: 8, ratio: 1.375
Canoeist, male: 36, female: 24, ratio: 1.5
Canoer, male: 197, female: 62, ratio: 3.1774193548387095
Canon, male: 13, female: 0, ratio: 1
Canonist, male: 1, female: 0, ratio: 1
Canton, male: 1, female: 0, ratio: 1
Cantopop, male: 1, female: 0, ratio: 1
Cantor, male: 5, female: 0, ratio: 1
Capitalist, male: 2, female: 0, ratio: 1
Capon, male: 0, female: 1, ratio: 0.0
Caporegime, male: 1, female: 0, ratio: 1
Captain, male: 45, female: 2, ratio: 22.5
Captive, male: 1, female: 0, ratio: 1
Capuchin, male: 1, female: 0, ratio: 1
Car, male: 28, female: 1, ratio: 28.0
Carcinologist, male: 0, female: 1, ratio: 0.0
Cardiff, male: 1, female: 0, ratio: 1
